Air travel,Healthcare,Sports events and broadcasting,National election and politics,Communications and technology,Securities lawsuits,Finance and business,Crime bulletin,Economic outlook,Sports news,Automobile economics,Tobacco,Asian News,Mergers and acquisitions,Agricultural economics,Family economics,Personal finance,Food corporations,Animal deaths,Food supply,Bioterrorism threats,Patino laboratory microbes,Hacking,Arms trafficking,Money Laundering,Dirty Bomb
0.0105,0.589,0.0224,0.07271,0.0332,0.2696,0.3995,0.02209,0.339,0.01164,0.3099,0.02731,0.08264,0.3323,0.5311,1,0.517,0.1792,0.03735,0.02301,0.01228,0.03514,0.0243,0.03426,0.02293,0.01438
0.022149,0.816,0.0193,0.02782,0.09423,0.5175,0.52822,0.01456,0.5589,0.01822,0.2386,0.02642,0.06606,0.4998,0.4812,0.517,1,0.2442,0.02468,0.01782,0.02128,0.021804,0.01119,0.02399,0.02357,0.02167
0.0113,0.01512,0.01414,0.01125,0.0179,0.30636,0.33358,0.0112,0.3897,0.01306,0.0191,0.01112,0.01397,0.4413,0.1552,0.1792,0.2442,1,0.0261,0.01438,0.01119,0.01538,0.01438,0.00221,0.02242,0.0051
0.01012,0.0113,0.0148,0.02314,0.03735,0.0179,0.02468,0.30636,0.0148,0.02314,0.03735,0.0179,0.02468,0.0148,0.02314,0.03735,0.02468,0.0261,1,0.8712,0.7644,0.7413,0.6733,0.6542,0.6818,0.65003
0.0198,0.2351,0.0218,0.01658,0.02301,0.023,0.01782,0.33358,0.0218,0.01658,0.02301,0.023,0.01782,0.0218,0.01658,0.02301,0.01782,0.01438,0.8712,1,0.7582,0.7348,0.56384,0.6648,0.5198,0.68809
0.01512,0.01398,0.0191,0.0396,0.01228,0.0191,0.02128,0.316,0.0191,0.0396,0.01228,0.0191,0.02128,0.0191,0.0396,0.01228,0.02128,0.01119,0.7644,0.7582,1,0.8557,0.6156,0.548,0.5095,0.6747
0.01372,0.01647,0.01306,0.01363,0.03514,0.0261,0.021804,0.217,0.01306,0.01363,0.03514,0.0261,0.021804,0.01306,0.01363,0.03514,0.021804,0.01538,0.7413,0.7348,0.8557,1,0.54057,0.66254,0.55422,0.683464
0.01678,0.0192,0.02242,0.0351,0.0243,0.0234,0.01119,0.2126,0.02242,0.0351,0.0243,0.0234,0.01119,0.02242,0.0351,0.0243,0.01119,0.01438,0.6733,0.56384,0.6156,0.54057,1,0.70635,0.70635,0.72732
0.01977,0.01414,0.01358,0.01433,0.03426,0.02404,0.02399,0.2584,0.01358,0.01433,0.03426,0.02404,0.02399,0.01358,0.01433,0.03426,0.02399,0.00221,0.6542,0.6648,0.548,0.66254,0.70635,1,0.707173,0.867065
0.0013,0.0139,0.01538,0.00221,0.02293,0.02566,0.02357,0.337,0.01538,0.00221,0.02293,0.02566,0.02357,0.01538,0.00221,0.02293,0.02357,0.02242,0.6818,0.5198,0.5095,0.55422,0.85898,0.707173,1,0.711133
0.0537,0.0387,0.0277,0.0264,0.01438,0.0227,0.02167,0.2739,0.0277,0.0264,0.01438,0.0227,0.02167,0.0277,0.0264,0.01438,0.02167,0.0051,0.65003,0.68809,0.6747,0.683464,0.72732,0.867065,0.711133,1
